idea,worker,rating
1,0,5
1,1,4
1,2,5
2,0,3
2,3,4
2,4,5
3,1,5
3,2,5
3,5,4
4,5,3
4,2,4
4,0,4
5,1,5
5,2,4
5,4,4
6,0,1
6,4,2
6,1,1
7,0,2
7,5,3
7,3,3
8,4,4
8,2,4
8,1,5
9,3,2
9,4,2
9,5,1
10,1,3
10,4,4
10,5,2
